<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>		<TICKER>	<PER>	<DATE>	<TIME>	<CLOSE>	<VOL>
ГАЗПРОМ ао	W	15.05.2017	0	124,19	224425060		Распадская	W	15.05.2017	0	66,85	9947230		НЛМК ао	W	15.05.2017	0	109	44268300
ГАЗПРОМ ао	W	22.05.2017	0	122,2	153115620		Распадская	W	22.05.2017	0	64,7	12403710		НЛМК ао	W	22.05.2017	0	108,5	30100310
ГАЗПРОМ ао	W	29.05.2017	0	119,69	183043590		Распадская	W	29.05.2017	0	58,69	19728350		НЛМК ао	W	29.05.2017	0	108,6	129186700
ГАЗПРОМ ао	W	05.06.2017	0	120,5	119706630		Распадская	W	05.06.2017	0	55,77	10975520		НЛМК ао	W	05.06.2017	0	109,19	27392960
ГАЗПРОМ ао	W	12.06.2017	0	116,02	239213170		Распадская	W	12.06.2017	0	52,59	16453600		НЛМК ао	W	12.06.2017	0	102,95	26828520
ГАЗПРОМ ао	W	19.06.2017	0	119,1	130246110		Распадская	W	19.06.2017	0	58,75	13623630		НЛМК ао	W	19.06.2017	0	107	25295120
ГАЗПРОМ ао	W	26.06.2017	0	118,49	106830400		Распадская	W	26.06.2017	0	60,55	13151370		НЛМК ао	W	26.06.2017	0	115,65	21329020
ГАЗПРОМ ао	W	03.07.2017	0	123	131973460		Распадская	W	03.07.2017	0	64,12	14272560		НЛМК ао	W	03.07.2017	0	120,52	20114190
ГАЗПРОМ ао	W	10.07.2017	0	125	121573370		Распадская	W	10.07.2017	0	68,5	18174450		НЛМК ао	W	10.07.2017	0	124,19	14960490
ГАЗПРОМ ао	W	17.07.2017	0	118,95	149282550		Распадская	W	17.07.2017	0	70,47	13218740		НЛМК ао	W	17.07.2017	0	124,02	19667310
ГАЗПРОМ ао	W	24.07.2017	0	116,9	129225610		Распадская	W	24.07.2017	0	73,98	18079380		НЛМК ао	W	24.07.2017	0	123,57	20563790
